Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",05/01/2015,24.2,6.7,16.1,5.9,,0.64,,,18.9,234.13,40.6,173.5,3.7,54.19,Rain
"Winnipeg, MB, Canada",05/02/2015,27.5,11.2,19.7,,26.3,0,,,23,214.33,45.2,174.4,5.3,32.17,Clear
"Winnipeg, MB, Canada",05/03/2015,16.1,6.5,11.8,7.3,,0,,,16.1,208.88,50,175.4,7.5,56.47,Clear
"Winnipeg, MB, Canada",05/04/2015,18.8,4.2,12,2.9,,0,,,14.1,190.88,40.7,177.2,1.9,51.98,Clear
"Winnipeg, MB, Canada",05/05/2015,24.9,8,17.3,,,0,,,40.5,202.25,55.4,176.8,5.5,25.24,Clear
"Winnipeg, MB, Canada",05/06/2015,21.7,13.5,17.3,,,4.97,,,8.7,199.25,46.1,173.6,5.7,63.97,Rain
"Winnipeg, MB, Canada",05/07/2015,17.2,3.3,10.5,0,,14.98,,,20.5,273.08,54.5,167.6,7.3,88.19,Rain
"Winnipeg, MB, Canada",05/08/2015,3.6,-0.7,1.3,-5.2,,0.8,,,16,237.5,37,177.3,6.8,71.75,Rain
"Winnipeg, MB, Canada",05/09/2015,9.3,-1.2,3.6,-4.6,,0.24,,,13.3,117.96,35.2,178.4,6.5,61.79,Rain
"Winnipeg, MB, Canada",05/10/2015,10.1,0.9,6.2,-0.6,,0,,,12.7,60.42,31.7,178,6.5,56.78,Clear
"Winnipeg, MB, Canada",05/11/2015,10.8,5.5,7.9,3.3,,0,,,18.1,34.42,38.8,176.7,7.1,50.53,Clear
"Winnipeg, MB, Canada",05/12/2015,13.3,2.4,8.4,2.4,,0,,,9.7,143.92,29.5,177.4,5.9,52.2,Clear
"Winnipeg, MB, Canada",05/13/2015,9.1,5.5,7.4,4.4,,1.15,,,14.4,116.42,38.9,175.8,7.1,70.52,Rain
"Winnipeg, MB, Canada",05/14/2015,12.2,5.5,8.7,3.8,,26.01,,,11.6,158.67,,165.3,7.7,93.39,Rain
"Winnipeg, MB, Canada",05/15/2015,17,5.6,11.9,5.5,,0.2,,,12.6,258.38,42.5,174.9,4.3,67.23,Rain
"Winnipeg, MB, Canada",05/16/2015,21.3,5.7,14.5,,,4.9,,,10.3,135.75,38.8,175.2,7.1,59.39,Rain
"Winnipeg, MB, Canada",05/17/2015,12.8,-0.1,6.1,-6.1,,54.31,,,32.8,25.08,58.7,160.6,7.7,91.9,Rain
"Winnipeg, MB, Canada",05/18/2015,8.7,-0.8,2.8,-6.8,,2.13,,,28.2,184.83,54.6,170.1,5.8,72.47,Rain
"Winnipeg, MB, Canada",05/19/2015,15.8,2.2,8.7,1.9,,0.2,,,10,284.21,31.7,178.4,1.3,41.56,Rain
"Winnipeg, MB, Canada",05/20/2015,20.9,6.9,13.9,5.1,,0,,,25.9,168.54,38.9,177.4,3.9,43.51,Clear
"Winnipeg, MB, Canada",05/21/2015,19.3,5.8,13,4.1,,0,,,11.6,144.67,27.7,191,2.3,48.25,Clear
"Winnipeg, MB, Canada",05/22/2015,27.3,8.8,18.5,,26.2,0,,,14.8,241.54,31.7,186.8,2.7,38.45,Clear
"Winnipeg, MB, Canada",05/23/2015,28,14.7,22,,26.7,0,,,11.4,229.63,27.7,181.1,5,27.18,Clear
"Winnipeg, MB, Canada",05/24/2015,27.2,12.8,20.5,,26.3,0,,,9.6,180.29,27.7,182.9,3.2,41.42,Clear
"Winnipeg, MB, Canada",05/25/2015,27.6,12.8,20.9,,26.4,0,,,7.9,85.71,,175.3,5.2,40.18,Clear
"Winnipeg, MB, Canada",05/26/2015,29.2,14.1,21.6,,27.5,0,,,11.9,209.58,31.8,175,2.6,46.08,Clear
"Winnipeg, MB, Canada",05/27/2015,18.1,9,13.7,7.1,,0,,,16.9,130.33,37,176.1,4.6,59.1,Clear
"Winnipeg, MB, Canada",05/28/2015,18.8,11.6,14.1,,,12.76,,,18.4,128.71,35.3,178.6,7,81.23,Rain
"Winnipeg, MB, Canada",05/29/2015,10.4,3.2,7.1,0.5,,0.24,,,20.3,338.21,40.3,183.9,5.2,64.69,Rain
"Winnipeg, MB, Canada",05/30/2015,11.8,0.9,6,-2.7,,70.54,,,16.6,134.75,31.7,178.5,7.8,50.34,Rain
"Winnipeg, MB, Canada",05/31/2015,20.7,6.1,14,5.6,,0,,,8.9,128.71,38.9,177.7,3.3,42.07,Clear
