Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",06/14/2017,22.9,14.2,17.9,,,51.13,,,21.4,150.33,48.3,321,8.2,77.22,Rain
"Winnipeg, MB, Canada",06/15/2017,19.1,13.1,16.4,,,0.5,,,17.4,245.08,50,323.2,7.2,69.93,Rain
"Winnipeg, MB, Canada",06/16/2017,17,12.8,15.4,,,0.1,,,10.5,286.83,31.7,324.3,4,73.19,Rain
"Winnipeg, MB, Canada",06/17/2017,16.9,11.9,14.2,,,0.2,,,9.8,313.71,29.5,324.1,5.6,76.77,Rain
"Winnipeg, MB, Canada",06/18/2017,16.8,11.9,13.9,,,0.9,,,10.3,283.38,29.5,325.5,4.8,76.99,Rain
"Winnipeg, MB, Canada",06/19/2017,20.2,9.4,15,8.8,,3.55,,,9.5,305.5,48.2,327.4,3.1,59.24,Rain
"Winnipeg, MB, Canada",06/20/2017,22.3,11.1,17.2,,,0.2,,,9.5,291.13,,327.6,3.3,58.97,Rain
"Winnipeg, MB, Canada",06/21/2017,19.8,14.6,16.1,,,20.21,,,9,187.88,40.7,324.7,5,74.41,Rain
"Winnipeg, MB, Canada",06/22/2017,20.9,12,16.5,,,0.54,,,14.9,243.58,51.8,324.5,3.1,55.96,Rain
"Winnipeg, MB, Canada",06/23/2017,15.7,11.9,13.8,,,3,,,14.9,298.33,51.8,326,4.8,76.46,Rain
"Winnipeg, MB, Canada",06/24/2017,13.1,9.6,11.1,7.8,,2.55,,,17.4,311.33,38.9,324.3,4.6,82.8,Rain
"Winnipeg, MB, Canada",06/25/2017,16.8,7.7,12.5,6.9,,1.09,,,11.6,296.21,42.5,330.9,2.5,63.95,Rain
"Winnipeg, MB, Canada",06/26/2017,22.6,11.6,17.4,,,0,,,10.3,272.96,38.9,329.9,1.8,47.77,Clear
"Winnipeg, MB, Canada",06/27/2017,26.4,12.1,19.3,,,0,,,12.2,185,46.4,326.3,3.9,45.86,Clear
"Winnipeg, MB, Canada",06/28/2017,20.3,17.3,18.5,,,2.09,,,6.3,143.54,40.7,323.2,4.1,73.2,Rain
"Winnipeg, MB, Canada",06/29/2017,24.2,13.8,18.6,,,10.54,,,7.5,147.63,38.9,288.2,6.9,75.34,Rain
"Winnipeg, MB, Canada",06/30/2017,19.7,14.7,17.4,,,0.5,,,12.2,284.71,38.9,251.7,16.9,67.43,Rain
"Winnipeg, MB, Canada",07/01/2017,20.9,13,17.4,,,2.5,,,12.2,233.58,33.5,327.1,3.6,63.05,Rain
"Winnipeg, MB, Canada",07/02/2017,21.5,11.9,17,,,0,,,7.7,238.96,,329,1.9,70.52,Clear
"Winnipeg, MB, Canada",07/03/2017,26,15.1,20.5,,,0.4,,,8.1,170.13,38.8,328.9,3.4,63.3,Rain
"Winnipeg, MB, Canada",07/04/2017,29.1,18.9,23.1,,30.6,8.14,,,13.7,232.96,42.5,327.1,3,68.01,Rain
"Winnipeg, MB, Canada",07/05/2017,29.6,17.8,24.4,,28.3,0,,,9.4,253.17,,341.2,1.5,49.31,Clear
"Winnipeg, MB, Canada",07/06/2017,25.2,19.5,22.7,,,0,,,13.9,241.29,48.1,328.1,2.8,54.76,Clear
"Winnipeg, MB, Canada",07/07/2017,25.1,15.6,20.3,,,3.69,,,11.4,224.75,27.7,329.5,2.9,57.06,Rain
"Winnipeg, MB, Canada",07/08/2017,27.3,16.8,22.4,,27.4,0,,,11.6,230.38,37.1,328.4,1.8,55.34,Clear
"Winnipeg, MB, Canada",07/09/2017,25.8,17.4,22,,,0,,,10.2,73.25,27.7,327.3,2.6,54.38,Clear
"Winnipeg, MB, Canada",07/10/2017,27.8,15.9,22.4,,27.9,0,,,9.3,169.63,,374.3,1.5,56.46,Clear
"Winnipeg, MB, Canada",07/11/2017,22,15.6,18.4,,,25.88,,,14.7,68.54,50,325,4.3,84.32,Rain
"Winnipeg, MB, Canada",07/12/2017,20.7,14.3,16.5,,,20.24,,,14.1,52.92,40.6,323.7,5.9,82.45,Rain
"Winnipeg, MB, Canada",07/13/2017,24,12,18.6,,,1.3,,,9.4,202.38,,330.7,1.1,58.92,Rain
"Winnipeg, MB, Canada",07/14/2017,26.8,13.7,20.7,,27.5,0.06,,,16.9,209.08,57.3,328.8,1.4,63.58,Rain
