Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",05/01/2016,19.7,4.5,12.8,6.5,,0.25,,,10.5,197.42,31.7,331.3,2,39.83,Rain
"Winnipeg, MB, Canada",05/02/2016,22.1,10.3,16.2,,,0,,,7.7,195.08,27.7,328.7,5.1,32.99,Clear
"Winnipeg, MB, Canada",05/03/2016,16.5,8.6,13.3,8,,0,,,21.5,217.38,40.7,327.9,1.8,42.65,Clear
"Winnipeg, MB, Canada",05/04/2016,20.7,4.1,12.8,3.4,,0,,,7.6,237.96,31.3,329,3.4,46.63,Clear
"Winnipeg, MB, Canada",05/05/2016,34.2,12.8,24.4,,31.6,0,,,13.6,240.33,43.4,325.3,3.2,25.96,Clear
"Winnipeg, MB, Canada",05/06/2016,24.7,10.9,17.3,,,0,,,25.9,233.21,48.2,326.8,5.3,36.61,Clear
"Winnipeg, MB, Canada",05/07/2016,20.1,7.3,14.6,6.4,,0,,,15.5,297.5,49.9,328,1.7,35.69,Clear
"Winnipeg, MB, Canada",05/08/2016,24.9,10.7,17.5,,,0.3,,,11.9,152,38.9,323.6,3.7,28.67,Rain
"Winnipeg, MB, Canada",05/09/2016,26,11.5,19.2,,,0.24,,,10.6,155,53.7,322.5,1.4,29.86,Rain
"Winnipeg, MB, Canada",05/10/2016,17.1,9.5,12.1,8.9,,11.51,,,10.2,111.71,38.9,323,7.4,66.5,Rain
"Winnipeg, MB, Canada",05/11/2016,15.3,10.9,12.6,,,1.74,,,16.2,137.29,53.6,324.7,7.5,77.74,Rain
"Winnipeg, MB, Canada",05/12/2016,11.3,3.7,6.9,1.5,,0.48,,,17.1,282.83,50,327,6.9,70.81,Rain
"Winnipeg, MB, Canada",05/13/2016,3.9,-0.9,1.8,-5.5,,0.74,,,23.3,327.21,42.1,330.2,6.2,65.47,Rain
"Winnipeg, MB, Canada",05/14/2016,10.7,-2.4,4.1,-6.6,,0,,,15.2,313.04,59.2,330.7,5.1,51.29,Clear
"Winnipeg, MB, Canada",05/15/2016,13.9,5.5,9.6,4.9,,0.64,,,16.2,228.83,57.5,328.3,4.9,56.52,Rain
"Winnipeg, MB, Canada",05/16/2016,15.7,3.9,10,2.7,,0.74,,,12.1,127.04,35.2,330.2,1.4,53.24,Rain
"Winnipeg, MB, Canada",05/17/2016,22.2,4.4,14.2,,,0,,,7.8,211.08,38.9,331.8,2.4,39.56,Clear
"Winnipeg, MB, Canada",05/18/2016,24.9,10.7,18.3,,,0.25,,,24.2,215.5,50,329.3,8.3,28.86,Rain
"Winnipeg, MB, Canada",05/19/2016,26.4,11.4,19.7,,,0,,,11.6,198.46,50,327.6,3.9,31.01,Clear
"Winnipeg, MB, Canada",05/20/2016,26.2,13.4,20.4,,,0,,,12.4,209.83,44.5,328.9,3.1,39.41,Clear
"Winnipeg, MB, Canada",05/21/2016,27.7,11,20.9,,26.7,0.3,,,13,185.54,51.8,329.5,1.8,38.15,Rain
"Winnipeg, MB, Canada",05/22/2016,25.6,15.5,21.5,,,0,,,19.7,188.75,61,325.9,6,44.76,Clear
"Winnipeg, MB, Canada",05/23/2016,26.6,16,20.6,,,30.3,,,15.4,211.63,40.7,324,6,61.56,Rain
"Winnipeg, MB, Canada",05/24/2016,23.4,14.6,18,,,0,,,8.6,174.67,42.5,327,5.6,51.19,Clear
"Winnipeg, MB, Canada",05/25/2016,25.9,12.7,16.9,,,24.24,,,14.8,73.04,44.6,324.8,6.8,69.23,Rain
"Winnipeg, MB, Canada",05/26/2016,18.2,13.6,15.2,,,15.38,,,14.7,166.75,59.2,319.4,11.3,90.17,Rain
