Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",05/01/2020,17.1,11.7,14.4,,,3.19,,,12.4,200.83,38.9,323.5,5.3,57.1,Rain
"Winnipeg, MB, Canada",05/02/2020,11.6,2.1,7,-1.9,,0,,,25.9,299.08,49.5,326.9,6.4,63.23,Clear
"Winnipeg, MB, Canada",05/03/2020,9.1,-0.7,3.2,-5,,0,,,15.8,181.25,38.9,330.7,4,64.05,Clear
"Winnipeg, MB, Canada",05/04/2020,11.8,-0.1,6.2,-2.1,,0,,,9.7,70.67,33.5,330.7,5,59.85,Clear
"Winnipeg, MB, Canada",05/05/2020,16,4.8,10,3.6,,0.8,,,11.9,192.83,29.5,330.3,4,45.16,Rain
"Winnipeg, MB, Canada",05/06/2020,11.6,1.9,7,-0.9,,0,,,13.7,180.58,35.3,331.6,1.2,43.63,Clear
"Winnipeg, MB, Canada",05/07/2020,8.4,-1.7,3.4,-5.1,,0,,,18,182.92,38.9,331.9,0.4,43.13,Clear
"Winnipeg, MB, Canada",05/08/2020,7.9,-3.3,2.7,-5.6,,0.2,,,10,128.38,,332.2,2.5,49.75,Rain
"Winnipeg, MB, Canada",05/09/2020,7.9,0,4.3,-2.1,,0,,,19.2,85.25,42.4,344.6,5.4,45.8,Clear
"Winnipeg, MB, Canada",05/10/2020,7.2,-0.5,3.2,-4.7,,0,,,19.5,264.75,38.9,333.1,4,42.52,Clear
"Winnipeg, MB, Canada",05/11/2020,7.9,-4.6,1.5,-9.1,,0,,,13.2,273,44.6,333,0.9,39.91,Clear
"Winnipeg, MB, Canada",05/12/2020,12.7,-2,5.3,-3.7,,0,,,7.5,235.04,31.7,331.4,1.4,25.53,Clear
"Winnipeg, MB, Canada",05/13/2020,7.8,2.8,6.1,3.4,,5.55,,,8.9,143.42,49.9,322.3,6.5,66.68,Rain
"Winnipeg, MB, Canada",05/14/2020,9.8,6.1,8.2,5.1,,3.15,,,8.4,278.58,31.7,351.4,4.4,85.98,Rain
