Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",05/01/2021,20.3,5.4,14,9.6,,0,,,9.2,187.71,42.5,324,4.9,35.8,Clear
"Winnipeg, MB, Canada",05/02/2021,11.2,3.7,7.8,1,,4.95,,,14,135.5,31.5,325.8,5.7,65.58,Rain
"Winnipeg, MB, Canada",05/03/2021,7.7,2.2,4.9,-0.9,,0,,,16.2,337.25,46.3,328.8,7.2,53.2,Clear
"Winnipeg, MB, Canada",05/04/2021,10.4,-0.5,5,-3.2,,0,,,11.5,280.83,44.6,330.2,3.2,45.91,Clear
"Winnipeg, MB, Canada",05/05/2021,10.9,-1.3,5.3,2.5,,0,,,8.1,136.38,40.7,331,2.1,45.38,Clear
"Winnipeg, MB, Canada",05/06/2021,11.4,3.1,6.8,1.4,,0,,,18.1,187.13,44.4,330.7,4.3,39.16,Clear
"Winnipeg, MB, Canada",05/07/2021,12.9,2.6,7.3,0.4,,0.2,,,10.1,146.17,35.3,344.4,2.2,44.59,Rain
"Winnipeg, MB, Canada",05/08/2021,12.7,-0.2,7,-2.1,,0,,,17.5,85.92,48.2,336.4,1.8,43.09,Clear
"Winnipeg, MB, Canada",05/09/2021,9.7,0.7,5.9,-0.6,,0,,,17.2,70.13,35.5,331.5,1.2,47.37,Clear
"Winnipeg, MB, Canada",05/10/2021,13.2,-0.1,7.1,0.1,,0,,,7.9,79.17,,332.2,2.7,41.79,Clear
"Winnipeg, MB, Canada",05/11/2021,20,3.6,12,3,,0,,,9.8,151.79,29.5,317.8,0.2,28.57,Clear
"Winnipeg, MB, Canada",05/12/2021,23.2,6.6,16.2,,,0,,,10,212.13,39.8,330.9,1,21.59,Clear
"Winnipeg, MB, Canada",05/13/2021,22.8,8.7,17.1,,,0.25,,,11.3,210.08,40.7,329.8,3.9,27.73,Rain
"Winnipeg, MB, Canada",05/14/2021,23.1,10,16.2,,,0.3,,,16.4,172.88,38,329.3,5.8,45.48,Rain
"Winnipeg, MB, Canada",05/15/2021,23.9,8.7,16,,,5,,,11.6,167.25,46.3,328.8,4.5,54.37,Rain
"Winnipeg, MB, Canada",05/16/2021,27.7,12.8,20.5,,26.5,2.8,,,14.3,202.21,42.6,330,5.9,39.05,Rain
"Winnipeg, MB, Canada",05/17/2021,30.4,11.4,21.6,,28.5,0.2,,,19.4,168.13,50,341.4,4.1,38.11,Rain
"Winnipeg, MB, Canada",05/18/2021,28.1,16.2,22.9,,27.2,0,,,18.9,195.21,66.5,301.1,6.8,36.47,Clear
"Winnipeg, MB, Canada",05/19/2021,25,17.1,20.8,,,0.36,,,15.1,196.92,55.4,324,5.7,62.17,Rain
"Winnipeg, MB, Canada",05/20/2021,20,8,10.9,5.7,,9.06,,,19.2,109.79,51.6,328.3,7.6,74.76,Rain
"Winnipeg, MB, Canada",05/21/2021,13.3,6.6,9.3,4.5,,7.21,,,15.9,196.79,38.9,323.2,7.7,89.28,Rain
"Winnipeg, MB, Canada",05/22/2021,9.2,3,6.1,-0.2,,45.73,,,14,230.67,38.8,325.8,7.7,88.04,Rain
"Winnipeg, MB, Canada",05/23/2021,14,6.5,10.5,5.6,,0,,,10.3,78.96,33.5,330.1,7.5,81.85,Clear
"Winnipeg, MB, Canada",05/24/2021,26.7,10.9,18.4,,,0.2,,,21.2,175.46,44.6,323.8,6.3,60.83,Rain
